artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Expose,When I Looked At Him,"['freestyle', 'new wave pop']",0.457,0.742,8,-9.574,1,0.0414,0.379,2.06e-05,0.24,0.533,169.623,audio_features,6qfY3dOCvLzY6ENzJZXTUK,spotify:track:6qfY3dOCvLzY6ENzJZXTUK,https://api.spotify.com/v1/tracks/6qfY3dOCvLzY6ENzJZXTUK,https://api.spotify.com/v1/audio-analysis/6qfY3dOCvLzY6ENzJZXTUK,332493,4,Expose|When I Looked At Him
The Alarm,Sold Me Down the River - 2000 Recording Live from London,"['dance rock', 'jangle pop', 'new romantic', 'new wave', 'new wave pop', 'welsh rock']",0.303,0.959,1,-4.588,1,0.0814,0.0204,0.000197,0.992,0.315,130.189,audio_features,18YpKwSgrRwKhVWfhlWYcH,spotify:track:18YpKwSgrRwKhVWfhlWYcH,https://api.spotify.com/v1/tracks/18YpKwSgrRwKhVWfhlWYcH,https://api.spotify.com/v1/audio-analysis/18YpKwSgrRwKhVWfhlWYcH,259057,4,The Alarm|Sold Me Down The River
Aerosmith,Love In An Elevator - Live Version,"['album rock', 'classic rock', 'hard rock', 'rock']",0.33,0.961,4,-5.431,1,0.115,0.000401,0.000616,0.987,0.319,93.683,audio_features,285gElbKR8dpan5tSJncT7,spotify:track:285gElbKR8dpan5tSJncT7,https://api.spotify.com/v1/tracks/285gElbKR8dpan5tSJncT7,https://api.spotify.com/v1/audio-analysis/285gElbKR8dpan5tSJncT7,355667,4,Aerosmith|Love In An Elevator
Fine Young Cannibals,I'm Not the Man I Used to Be,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0.811,0.629,7,-12.571,0,0.0363,0.206,0.161,0.0564,0.867,110.42,audio_features,0ce4Ru8pHOZKijojglD4JS,spotify:track:0ce4Ru8pHOZKijojglD4JS,https://api.spotify.com/v1/tracks/0ce4Ru8pHOZKijojglD4JS,https://api.spotify.com/v1/audio-analysis/0ce4Ru8pHOZKijojglD4JS,258867,4,Fine Young Cannibals|I'm Not The Man I Used To Be
Motley Crue,Dr. Feelgood,"['album rock', 'glam metal', 'hard rock', 'rock', 'sleaze rock']",0.53,0.952,2,-5.105,1,0.0577,0.000837,0.0119,0.262,0.433,110.98,audio_features,4HLTeC7b32DaNaR5pf6tbd,spotify:track:4HLTeC7b32DaNaR5pf6tbd,https://api.spotify.com/v1/tracks/4HLTeC7b32DaNaR5pf6tbd,https://api.spotify.com/v1/audio-analysis/4HLTeC7b32DaNaR5pf6tbd,290187,4,Motley Crue|Dr. Feelgood
White Lion,Radar Love,"['album rock', 'glam metal', 'hard rock', 'rock']",0.405,0.858,4,-8.106,1,0.043,0.00027,0.0237,0.0921,0.563,102.913,audio_features,0MOi5oWv5Y0Ea9p7BdXepF,spotify:track:0MOi5oWv5Y0Ea9p7BdXepF,https://api.spotify.com/v1/tracks/0MOi5oWv5Y0Ea9p7BdXepF,https://api.spotify.com/v1/audio-analysis/0MOi5oWv5Y0Ea9p7BdXepF,355040,4,White Lion|Radar Love
Poco,Call It Love - Live,"['classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'soft rock', 'southern rock', 'traditional folk']",0.48,0.64,9,-6.402,1,0.032,0.0519,6.87e-06,0.763,0.154,105.703,audio_features,1UgEXP7xoqYl0RXg3Pt3UP,spotify:track:1UgEXP7xoqYl0RXg3Pt3UP,https://api.spotify.com/v1/tracks/1UgEXP7xoqYl0RXg3Pt3UP,https://api.spotify.com/v1/audio-analysis/1UgEXP7xoqYl0RXg3Pt3UP,294058,4,Poco|Call It Love
Tears For Fears,Sowing The Seeds Of Love,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock', 'synthpop']",0.209,0.795,0,-7.241,1,0.0443,0.0109,5.63e-05,0.355,0.682,171.975,audio_features,0PbAyLrJRDxckQBLQ2Addc,spotify:track:0PbAyLrJRDxckQBLQ2Addc,https://api.spotify.com/v1/tracks/0PbAyLrJRDxckQBLQ2Addc,https://api.spotify.com/v1/audio-analysis/0PbAyLrJRDxckQBLQ2Addc,376733,4,Tears For Fears|Sowing The Seeds Of Love
Cher,If I Could Turn Back Time,"['dance pop', 'hollywood', 'new wave pop', 'pop']",0.699,0.594,11,-8.813,1,0.0273,0.144,0.0,0.0744,0.48,108.715,audio_features,24yxPtDBWp7rU1G2hrwcZO,spotify:track:24yxPtDBWp7rU1G2hrwcZO,https://api.spotify.com/v1/tracks/24yxPtDBWp7rU1G2hrwcZO,https://api.spotify.com/v1/audio-analysis/24yxPtDBWp7rU1G2hrwcZO,253707,4,Cher|If I Could Turn Back Time
The Cover Girls,My Heart Skips A Beat,['freestyle'],0.684,0.838,2,-5.912,0,0.0435,0.115,1.65e-05,0.0854,0.521,115.844,audio_features,5xpEcMaehc6sg2hxzEVjWD,spotify:track:5xpEcMaehc6sg2hxzEVjWD,https://api.spotify.com/v1/tracks/5xpEcMaehc6sg2hxzEVjWD,https://api.spotify.com/v1/audio-analysis/5xpEcMaehc6sg2hxzEVjWD,336067,4,The Cover Girls|My Heart Skips A Beat
Regina Belle,Baby Come To Me,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'urban contemporary']",0.558,0.762,0,-7.967,0,0.0994,0.0848,0.0,0.224,0.703,168.69,audio_features,7kp7NX1k10cXWr8tBAzCCr,spotify:track:7kp7NX1k10cXWr8tBAzCCr,https://api.spotify.com/v1/tracks/7kp7NX1k10cXWr8tBAzCCr,https://api.spotify.com/v1/audio-analysis/7kp7NX1k10cXWr8tBAzCCr,341533,4,Regina Belle|Baby Come To Me
Babyface,It's No Crime,"['dance pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.807,0.646,7,-11.798,0,0.0566,0.00287,0.112,0.258,0.879,117.081,audio_features,3W0oPqFdQJC5UDNOnMvPVm,spotify:track:3W0oPqFdQJC5UDNOnMvPVm,https://api.spotify.com/v1/tracks/3W0oPqFdQJC5UDNOnMvPVm,https://api.spotify.com/v1/audio-analysis/3W0oPqFdQJC5UDNOnMvPVm,417573,4,Babyface|It's No Crime
