artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Ed Sheeran,Perfect,"['pop', 'uk pop']",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3,Ed Sheeran|Perfect
Ed Sheeran,Shape of You,"['pop', 'uk pop']",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4,Ed Sheeran|Shape Of You
twenty one pilots,Stressed Out,"['pop punk', 'rock']",0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,audio_features,3CRDbSIZ4r5MsZ0YwxuEkn,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4,twenty one pilots|Stressed Out
WALK THE MOON,Shut Up and Dance - Live,"['indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'pop', 'pop rock']",0.41,0.956,1,-1.883,1,0.0782,0.00097,0,0.902,0.435,128.114,audio_features,7dnjPuuoFBGxos5MHBDfue,spotify:track:7dnjPuuoFBGxos5MHBDfue,https://api.spotify.com/v1/tracks/7dnjPuuoFBGxos5MHBDfue,https://api.spotify.com/v1/audio-analysis/7dnjPuuoFBGxos5MHBDfue,220720,4,WALK THE MOON|Shut Up And Dance
Ed Sheeran,Thinking out Loud,"['pop', 'uk pop']",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4,Ed Sheeran|Thinking Out Loud
Sam Smith,Stay With Me,"['pop', 'post-teen pop']",0.56,0.429,0,-6.267,1,0.0377,0.52,7.06e-05,0.105,0.161,85.036,audio_features,31CHJzSweI6r1dk6XrZceK,spotify:track:31CHJzSweI6r1dk6XrZceK,https://api.spotify.com/v1/tracks/31CHJzSweI6r1dk6XrZceK,https://api.spotify.com/v1/audio-analysis/31CHJzSweI6r1dk6XrZceK,172724,4,Sam Smith|Stay With Me
John Legend,All of Me - Live from Spotify Milan,"['neo soul', 'pop', 'r&b', 'urban contemporary']",0.505,0.15,8,-9.795,1,0.0439,0.833,0,0.0988,0.383,133.237,audio_features,6nyZQ82OI0OujbbFpo3e0K,spotify:track:6nyZQ82OI0OujbbFpo3e0K,https://api.spotify.com/v1/tracks/6nyZQ82OI0OujbbFpo3e0K,https://api.spotify.com/v1/audio-analysis/6nyZQ82OI0OujbbFpo3e0K,291960,4,John Legend|All Of Me
Katy Perry,Dark Horse,"['dance pop', 'pop', 'post-teen pop']",0.645,0.585,6,-6.122,1,0.0513,0.00314,0,0.165,0.353,131.931,audio_features,4jbmgIyjGoXjY01XxatOx6,spotify:track:4jbmgIyjGoXjY01XxatOx6,https://api.spotify.com/v1/tracks/4jbmgIyjGoXjY01XxatOx6,https://api.spotify.com/v1/audio-analysis/4jbmgIyjGoXjY01XxatOx6,215672,4,Katy Perry Featuring Juicy J|Dark Horse
OneRepublic,Counting Stars,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.115,0.477,122.017,audio_features,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,257840,4,OneRepublic|Counting Stars
Bastille,Pompeii,"['metropopolis', 'modern rock', 'pop']",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,audio_features,4Ub8UsjWuewQrPhuepfVpd,spotify:track:4Ub8UsjWuewQrPhuepfVpd,https://api.spotify.com/v1/tracks/4Ub8UsjWuewQrPhuepfVpd,https://api.spotify.com/v1/audio-analysis/4Ub8UsjWuewQrPhuepfVpd,214148,4,Bastille|Pompeii
Imagine Dragons,Demons,"['modern rock', 'rock']",0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,audio_features,3LlAyCYU26dvFZBDUIMb7a,spotify:track:3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,175200,4,Imagine Dragons|Demons
Imagine Dragons,Radioactive,"['modern rock', 'rock']",0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,audio_features,4G8gkOterJn0Ywt6uhqbhp,spotify:track:4G8gkOterJn0Ywt6uhqbhp,https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp,https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp,186813,4,Imagine Dragons|Radioactive
AWOLNATION,Sail,"['la indie', 'modern alternative rock', 'modern rock', 'stomp pop']",0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,audio_features,5xhQChGGhKLWqBqX4XhtYE,spotify:track:5xhQChGGhKLWqBqX4XhtYE,https://api.spotify.com/v1/tracks/5xhQChGGhKLWqBqX4XhtYE,https://api.spotify.com/v1/audio-analysis/5xhQChGGhKLWqBqX4XhtYE,259102,4,AWOLNATION|Sail
Florida Georgia Line,Cruise,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",0.474,0.945,10,-3.368,1,0.0351,0.0208,0,0.0816,0.894,147.975,audio_features,7amkWxIK2pZFHd9Ao0UG0o,spotify:track:7amkWxIK2pZFHd9Ao0UG0o,https://api.spotify.com/v1/tracks/7amkWxIK2pZFHd9Ao0UG0o,https://api.spotify.com/v1/audio-analysis/7amkWxIK2pZFHd9Ao0UG0o,209493,4,Florida Georgia Line Featuring Nelly|Cruise
The Lumineers,Ho Hey,"['folk-pop', 'indie folk', 'indie pop', 'modern rock', 'stomp and holler']",0.684,0.47,0,-9.115,1,0.0295,0.778,1.9e-06,0.103,0.38,79.893,audio_features,1Mack10LMsmGP9SDeg6Tbf,spotify:track:1Mack10LMsmGP9SDeg6Tbf,https://api.spotify.com/v1/tracks/1Mack10LMsmGP9SDeg6Tbf,https://api.spotify.com/v1/audio-analysis/1Mack10LMsmGP9SDeg6Tbf,163133,4,The Lumineers|Ho Hey
fun.,Some Nights - Intro,"['metropopolis', 'modern rock', 'pop', 'pop rap']",0.483,0.216,0,-10.455,1,0.052,0.766,3.44e-05,0.601,0.371,130.059,audio_features,7eeh7qlZRgDc5G8XroPwTG,spotify:track:7eeh7qlZRgDc5G8XroPwTG,https://api.spotify.com/v1/tracks/7eeh7qlZRgDc5G8XroPwTG,https://api.spotify.com/v1/audio-analysis/7eeh7qlZRgDc5G8XroPwTG,139512,3,fun.|Some Nights
Gotye,Somebody That I Used To Know - feat. Kimbra,['australian pop'],0.857,0.517,0,-6.972,1,0.0384,0.565,0.000195,0.102,0.754,129.063,audio_features,4wCmqSrbyCgxEXROQE6vtV,spotify:track:4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/audio-analysis/4wCmqSrbyCgxEXROQE6vtV,244973,4,Gotye Featuring Kimbra|Somebody That I Used To Know
Ellie Goulding,Lights - Single Version,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'tropical house']",0.68,0.799,8,-5.805,0,0.0347,0.0323,0.0459,0.123,0.744,120.031,audio_features,44906V2WC6k59u06A8CO9D,spotify:track:44906V2WC6k59u06A8CO9D,https://api.spotify.com/v1/tracks/44906V2WC6k59u06A8CO9D,https://api.spotify.com/v1/audio-analysis/44906V2WC6k59u06A8CO9D,210634,4,Ellie Goulding|Lights
LMFAO,Party Rock Anthem,"['dance pop', 'edm', 'pop', 'pop rap']",0.751,0.736,5,-4.168,0,0.156,0.0206,0,0.265,0.352,130.014,audio_features,5y1jZxXIpECpclpbA76zVm,spotify:track:5y1jZxXIpECpclpbA76zVm,https://api.spotify.com/v1/tracks/5y1jZxXIpECpclpbA76zVm,https://api.spotify.com/v1/audio-analysis/5y1jZxXIpECpclpbA76zVm,262147,4,LMFAO Featuring Lauren Bennett & GoonRock|Party Rock Anthem
